run_accession	fastq_ftp
SRR15058634	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/034/SRR15058634/SRR15058634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/034/SRR15058634/SRR15058634_2.fastq.gz
SRR15058635	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/035/SRR15058635/SRR15058635_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/035/SRR15058635/SRR15058635_2.fastq.gz
SRR15058636	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/036/SRR15058636/SRR15058636_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/036/SRR15058636/SRR15058636_2.fastq.gz
SRR15058637	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/037/SRR15058637/SRR15058637_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/037/SRR15058637/SRR15058637_2.fastq.gz
SRR15058638	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/038/SRR15058638/SRR15058638_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/038/SRR15058638/SRR15058638_2.fastq.gz
SRR15058639	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/039/SRR15058639/SRR15058639_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/039/SRR15058639/SRR15058639_2.fastq.gz
SRR15058640	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/040/SRR15058640/SRR15058640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/040/SRR15058640/SRR15058640_2.fastq.gz
SRR15058641	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/041/SRR15058641/SRR15058641_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/041/SRR15058641/SRR15058641_2.fastq.gz
SRR15058642	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/042/SRR15058642/SRR15058642_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/042/SRR15058642/SRR15058642_2.fastq.gz
SRR15058643	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/043/SRR15058643/SRR15058643_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/043/SRR15058643/SRR15058643_2.fastq.gz
SRR15058644	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/044/SRR15058644/SRR15058644_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/044/SRR15058644/SRR15058644_2.fastq.gz
SRR15058645	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/045/SRR15058645/SRR15058645_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/045/SRR15058645/SRR15058645_2.fastq.gz
SRR15058646	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/046/SRR15058646/SRR15058646_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/046/SRR15058646/SRR15058646_2.fastq.gz
SRR15058647	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/047/SRR15058647/SRR15058647_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/047/SRR15058647/SRR15058647_2.fastq.gz
SRR15058648	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/048/SRR15058648/SRR15058648_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/048/SRR15058648/SRR15058648_2.fastq.gz
SRR15058649	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/049/SRR15058649/SRR15058649_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/049/SRR15058649/SRR15058649_2.fastq.gz
SRR15058650	ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/050/SRR15058650/SRR15058650_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/050/SRR15058650/SRR15058650_2.fastq.gz
